MovementType,Mean,Lower,Upper
TT,-0.033333333333333215,-0.6333333333333333,0.5666666666666664
DD,-0.10000000000000009,-0.7333333333333334,0.5333333333333332
UW,-0.026436781609195492,-0.5000287356321839,0.41724137931034466
UT,0.19999999999999973,-0.3333333333333335,0.7333333333333334
DT,0.1333333333333333,-0.3675000000000004,0.6333333333333333
WT,-0.6333333333333333,-1.1333333333333337,-0.16666666666666652
DW,-0.46666666666666634,-0.8999999999999999,-0.033333333333333215
WW,-0.5333333333333332,-1.0666666666666664,-0.033333333333333645
DU,0.0,-0.5,0.5333333333333332
UU,-0.20344827586206948,-0.6679310344827585,0.20807471264367808
