MovementType,Mean,Lower,Upper
TT,-0.2666666666666666,-0.8999999999999999,0.3666666666666667
DD,0.3333333333333335,-0.23333333333333295,0.9333333333333331
UW,-0.2333333333333334,-0.8666666666666667,0.3666666666666667
UT,-0.31149425287356314,-0.8991091954022988,0.26321839080459775
DT,-0.10000000000000009,-0.6333333333333333,0.3999999999999999
WT,-0.3999999999999999,-0.8666666666666667,0.1333333333333333
DW,0.0,-0.5333333333333332,0.6000000000000001
WW,-0.1333333333333333,-0.7000000000000002,0.46666666666666634
DU,0.2333333333333334,-0.26750000000000035,0.7674999999999996
UU,0.10000000000000009,-0.4333333333333331,0.6000000000000001
