MovementType,Mean,Lower,Upper
TT,-0.4333333333333331,-1.0333333333333332,0.1341666666666663
DD,-1.0333333333333332,-1.6,-0.40000000000000036
UW,-0.6597701149425288,-1.22433908045977,-0.12632183908046005
UT,-0.22183908045977052,-0.7999999999999998,0.2920114942528736
DT,-0.8333333333333335,-1.4,-0.30000000000000027
WT,-0.8999999999999999,-1.4,-0.40000000000000036
DW,-1.1,-1.5333333333333337,-0.6666666666666665
WW,-0.7666666666666666,-1.2666666666666666,-0.2666666666666666
DU,-0.9666666666666668,-1.4675,-0.46666666666666634
UU,-0.870114942528736,-1.3747413793103447,-0.39764367816091956
