MovementType,Mean,Lower,Upper
TT,-0.6666666666666665,-1.2333333333333334,-0.033333333333333215
DD,-0.5999999999999996,-1.1666666666666665,0.0
UW,-0.8666666666666667,-1.3666666666666667,-0.3999999999999999
UT,-0.7333333333333334,-1.333333333333333,-0.16666666666666652
DT,-1.0666666666666669,-1.5666666666666669,-0.6000000000000001
WT,-0.6666666666666665,-1.166666666666667,-0.10000000000000009
DW,-0.6333333333333337,-1.1333333333333333,-0.06666666666666687
WW,-0.3666666666666667,-1.0,0.2333333333333334
DU,-0.7333333333333334,-1.2333333333333334,-0.2666666666666666
UU,-0.5666666666666664,-1.0333333333333337,-0.06666666666666643
