MovementType,Mean,Lower,Upper
TT,0.4333333333333331,-0.10000000000000009,0.9333333333333336
DD,-0.20000000000000018,-0.7999999999999998,0.43333333333333357
UW,-0.3333333333333335,-0.833333333333333,0.20083333333333273
UT,-0.2862068965517244,-0.7621551724137932,0.15402298850574692
DT,0.23333333333333295,-0.33333333333333304,0.833333333333333
WT,-0.2666666666666666,-0.7666666666666666,0.2666666666666666
DW,-0.3666666666666667,-0.833333333333333,0.09999999999999966
WW,-0.06666666666666643,-0.634166666666667,0.5333333333333332
DU,-0.3666666666666667,-0.7666666666666666,0.033333333333333215
UU,-0.544827586206897,-0.92117816091954,-0.1723850574712645
