MovementType,Mean,Lower,Upper
TT,-0.06666666666666687,-0.5690517241379311,0.40813218390804556
DD,-1.0,-1.6333333333333333,-0.3666666666666667
UW,-0.2999999999999998,-0.7666666666666666,0.20000000000000018
UT,-0.06896551724137945,-0.5517241379310343,0.3448275862068968
DT,-0.3333333333333335,-0.9333333333333331,0.2999999999999998
WT,-0.2666666666666666,-0.7999999999999998,0.2666666666666666
DW,-0.30000000000000027,-0.7666666666666662,0.1333333333333333
WW,-0.09999999999999964,-0.6333333333333333,0.43333333333333357
DU,-0.3666666666666667,-0.7999999999999998,0.06749999999999944
UU,-0.9114942528735637,-1.3804885057471266,-0.4729310344827591
