MovementType,Mean,Lower,Upper
TT,-0.033333333333333215,-0.4666666666666668,0.43333333333333357
DD,-0.16666666666666652,-0.7341666666666666,0.4666666666666668
UW,0.13333333333333375,-0.3333333333333335,0.6333333333333333
UT,-0.1333333333333333,-0.6666666666666665,0.3666666666666667
DT,-0.4333333333333331,-0.8341666666666667,0.0008333333333325725
WT,0.10000000000000009,-0.3999999999999999,0.6000000000000001
DW,-0.20000000000000018,-0.5666666666666669,0.20000000000000018
WW,-0.2333333333333334,-0.7666666666666666,0.30000000000000027
DU,-0.16666666666666652,-0.5333333333333332,0.20000000000000018
UU,-0.2666666666666666,-0.7333333333333334,0.2333333333333334
